seg1	pos1	name1	seg2	pos2	name2
1	1	Amino acids	1	3	Amino acids
1	1	Amino acids	1	5	Amino acids
1	1	Amino acids	1	9	Amino acids
1	1	Amino acids	3	1	Amino acids
1	1	Amino acids	7	1	Amino acids
1	1	Amino acids	11	1	Amino acids
1	1	Amino acids	11	3	Amino acids
1	1	Amino acids	11	5	Amino acids
1	1	Amino acids	12	3	Amino acids
1	3	Amino acids	1	1	Amino acids
1	3	Amino acids	1	5	Amino acids
1	3	Amino acids	1	9	Amino acids
1	3	Amino acids	3	1	Amino acids
1	3	Amino acids	7	1	Amino acids
1	3	Amino acids	11	1	Amino acids
1	3	Amino acids	11	3	Amino acids
1	3	Amino acids	11	5	Amino acids
1	3	Amino acids	12	3	Amino acids
1	5	Amino acids	1	1	Amino acids
1	5	Amino acids	1	3	Amino acids
1	5	Amino acids	1	9	Amino acids
1	5	Amino acids	3	1	Amino acids
1	5	Amino acids	7	1	Amino acids
1	5	Amino acids	11	1	Amino acids
1	5	Amino acids	11	3	Amino acids
1	5	Amino acids	11	5	Amino acids
1	5	Amino acids	12	3	Amino acids
1	9	Amino acids	1	1	Amino acids
1	9	Amino acids	1	3	Amino acids
1	9	Amino acids	1	5	Amino acids
1	9	Amino acids	3	1	Amino acids
1	9	Amino acids	7	1	Amino acids
1	9	Amino acids	11	1	Amino acids
1	9	Amino acids	11	3	Amino acids
1	9	Amino acids	11	5	Amino acids
1	9	Amino acids	12	3	Amino acids
