seg1	pos1	name1	seg2	pos2	name2
1	11	Anthraquinones	1	13	Anthraquinones
1	11	Anthraquinones	1	15	Anthraquinones
1	11	Anthraquinones	1	17	Anthraquinones
1	11	Anthraquinones	1	19	Anthraquinones
1	11	Anthraquinones	1	21	Anthraquinones
1	11	Anthraquinones	1	23	Anthraquinones
1	11	Anthraquinones	1	25	Anthraquinones
1	11	Anthraquinones	1	27	Anthraquinones
1	13	Anthraquinones	1	11	Anthraquinones
1	13	Anthraquinones	1	15	Anthraquinones
1	13	Anthraquinones	1	17	Anthraquinones
1	13	Anthraquinones	1	19	Anthraquinones
1	13	Anthraquinones	1	21	Anthraquinones
1	13	Anthraquinones	1	23	Anthraquinones
1	13	Anthraquinones	1	25	Anthraquinones
1	13	Anthraquinones	1	27	Anthraquinones
1	15	Anthraquinones	1	11	Anthraquinones
1	15	Anthraquinones	1	13	Anthraquinones
1	15	Anthraquinones	1	17	Anthraquinones
1	15	Anthraquinones	1	19	Anthraquinones
1	15	Anthraquinones	1	21	Anthraquinones
1	15	Anthraquinones	1	23	Anthraquinones
1	15	Anthraquinones	1	25	Anthraquinones
1	15	Anthraquinones	1	27	Anthraquinones
1	17	Anthraquinones	1	11	Anthraquinones
1	17	Anthraquinones	1	13	Anthraquinones
1	17	Anthraquinones	1	15	Anthraquinones
1	17	Anthraquinones	1	19	Anthraquinones
1	17	Anthraquinones	1	21	Anthraquinones
1	17	Anthraquinones	1	23	Anthraquinones
1	17	Anthraquinones	1	25	Anthraquinones
1	17	Anthraquinones	1	27	Anthraquinones
1	19	Anthraquinones	1	11	Anthraquinones
1	19	Anthraquinones	1	13	Anthraquinones
1	19	Anthraquinones	1	15	Anthraquinones
1	19	Anthraquinones	1	17	Anthraquinones
1	19	Anthraquinones	1	21	Anthraquinones
1	19	Anthraquinones	1	23	Anthraquinones
1	19	Anthraquinones	1	25	Anthraquinones
1	19	Anthraquinones	1	27	Anthraquinones
1	21	Anthraquinones	1	11	Anthraquinones
1	21	Anthraquinones	1	13	Anthraquinones
1	21	Anthraquinones	1	15	Anthraquinones
1	21	Anthraquinones	1	17	Anthraquinones
1	21	Anthraquinones	1	19	Anthraquinones
1	21	Anthraquinones	1	23	Anthraquinones
1	21	Anthraquinones	1	25	Anthraquinones
1	21	Anthraquinones	1	27	Anthraquinones
1	23	Anthraquinones	1	11	Anthraquinones
1	23	Anthraquinones	1	13	Anthraquinones
1	23	Anthraquinones	1	15	Anthraquinones
1	23	Anthraquinones	1	17	Anthraquinones
1	23	Anthraquinones	1	19	Anthraquinones
1	23	Anthraquinones	1	21	Anthraquinones
1	23	Anthraquinones	1	25	Anthraquinones
1	23	Anthraquinones	1	27	Anthraquinones
1	25	Anthraquinones	1	11	Anthraquinones
1	25	Anthraquinones	1	13	Anthraquinones
1	25	Anthraquinones	1	15	Anthraquinones
1	25	Anthraquinones	1	17	Anthraquinones
1	25	Anthraquinones	1	19	Anthraquinones
1	25	Anthraquinones	1	21	Anthraquinones
1	25	Anthraquinones	1	23	Anthraquinones
1	25	Anthraquinones	1	27	Anthraquinones
1	27	Anthraquinones	1	11	Anthraquinones
1	27	Anthraquinones	1	13	Anthraquinones
1	27	Anthraquinones	1	15	Anthraquinones
1	27	Anthraquinones	1	17	Anthraquinones
1	27	Anthraquinones	1	19	Anthraquinones
1	27	Anthraquinones	1	21	Anthraquinones
1	27	Anthraquinones	1	23	Anthraquinones
1	27	Anthraquinones	1	25	Anthraquinones
