seg1	pos1	name1	seg2	pos2	name2
1	33	Carbolines	1	35	Carbolines
1	33	Carbolines	1	37	Carbolines
1	33	Carbolines	1	39	Carbolines
1	33	Carbolines	1	41	Carbolines
1	33	Carbolines	1	43	Carbolines
1	33	Carbolines	1	45	Carbolines
1	33	Carbolines	1	47	Carbolines
1	33	Carbolines	1	49	Carbolines
1	33	Carbolines	1	51	Carbolines
1	35	Carbolines	1	33	Carbolines
1	35	Carbolines	1	37	Carbolines
1	35	Carbolines	1	39	Carbolines
1	35	Carbolines	1	41	Carbolines
1	35	Carbolines	1	43	Carbolines
1	35	Carbolines	1	45	Carbolines
1	35	Carbolines	1	47	Carbolines
1	35	Carbolines	1	49	Carbolines
1	35	Carbolines	1	51	Carbolines
1	37	Carbolines	1	33	Carbolines
1	37	Carbolines	1	35	Carbolines
1	37	Carbolines	1	39	Carbolines
1	37	Carbolines	1	41	Carbolines
1	37	Carbolines	1	43	Carbolines
1	37	Carbolines	1	45	Carbolines
1	37	Carbolines	1	47	Carbolines
1	37	Carbolines	1	49	Carbolines
1	37	Carbolines	1	51	Carbolines
1	39	Carbolines	1	33	Carbolines
1	39	Carbolines	1	35	Carbolines
1	39	Carbolines	1	37	Carbolines
1	39	Carbolines	1	41	Carbolines
1	39	Carbolines	1	43	Carbolines
1	39	Carbolines	1	45	Carbolines
1	39	Carbolines	1	47	Carbolines
1	39	Carbolines	1	49	Carbolines
1	39	Carbolines	1	51	Carbolines
1	41	Carbolines	1	33	Carbolines
1	41	Carbolines	1	35	Carbolines
1	41	Carbolines	1	37	Carbolines
1	41	Carbolines	1	39	Carbolines
1	41	Carbolines	1	43	Carbolines
1	41	Carbolines	1	45	Carbolines
1	41	Carbolines	1	47	Carbolines
1	41	Carbolines	1	49	Carbolines
1	41	Carbolines	1	51	Carbolines
1	43	Carbolines	1	33	Carbolines
1	43	Carbolines	1	35	Carbolines
1	43	Carbolines	1	37	Carbolines
1	43	Carbolines	1	39	Carbolines
1	43	Carbolines	1	41	Carbolines
1	43	Carbolines	1	45	Carbolines
1	43	Carbolines	1	47	Carbolines
1	43	Carbolines	1	49	Carbolines
1	43	Carbolines	1	51	Carbolines
1	45	Carbolines	1	33	Carbolines
1	45	Carbolines	1	35	Carbolines
1	45	Carbolines	1	37	Carbolines
1	45	Carbolines	1	39	Carbolines
1	45	Carbolines	1	41	Carbolines
1	45	Carbolines	1	43	Carbolines
1	45	Carbolines	1	47	Carbolines
1	45	Carbolines	1	49	Carbolines
1	45	Carbolines	1	51	Carbolines
1	47	Carbolines	1	33	Carbolines
1	47	Carbolines	1	35	Carbolines
1	47	Carbolines	1	37	Carbolines
1	47	Carbolines	1	39	Carbolines
1	47	Carbolines	1	41	Carbolines
1	47	Carbolines	1	43	Carbolines
1	47	Carbolines	1	45	Carbolines
1	47	Carbolines	1	49	Carbolines
1	47	Carbolines	1	51	Carbolines
1	49	Carbolines	1	33	Carbolines
1	49	Carbolines	1	35	Carbolines
1	49	Carbolines	1	37	Carbolines
1	49	Carbolines	1	39	Carbolines
1	49	Carbolines	1	41	Carbolines
1	49	Carbolines	1	43	Carbolines
1	49	Carbolines	1	45	Carbolines
1	49	Carbolines	1	47	Carbolines
1	49	Carbolines	1	51	Carbolines
1	51	Carbolines	1	33	Carbolines
1	51	Carbolines	1	35	Carbolines
1	51	Carbolines	1	37	Carbolines
1	51	Carbolines	1	39	Carbolines
1	51	Carbolines	1	41	Carbolines
1	51	Carbolines	1	43	Carbolines
1	51	Carbolines	1	45	Carbolines
1	51	Carbolines	1	47	Carbolines
1	51	Carbolines	1	49	Carbolines
