seg1	pos1	name1	seg2	pos2	name2
1	75	Flavonol O-glycosides	1	77	Flavonol O-glycosides
1	75	Flavonol O-glycosides	2	5	Flavonol O-glycosides
1	75	Flavonol O-glycosides	2	7	Flavonol O-glycosides
1	75	Flavonol O-glycosides	2	9	Flavonol O-glycosides
1	75	Flavonol O-glycosides	2	11	Flavonol O-glycosides
1	75	Flavonol O-glycosides	2	13	Flavonol O-glycosides
1	75	Flavonol O-glycosides	3	33	Flavonol O-glycosides
1	75	Flavonol O-glycosides	3	35	Flavonol O-glycosides
1	75	Flavonol O-glycosides	4	45	Flavonol O-glycosides
1	75	Flavonol O-glycosides	5	9	Flavonol O-glycosides
1	75	Flavonol O-glycosides	5	11	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	29	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	31	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	33	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	35	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	37	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	39	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	41	Flavonol O-glycosides
1	75	Flavonol O-glycosides	7	43	Flavonol O-glycosides
1	75	Flavonol O-glycosides	8	19	Flavonol O-glycosides
1	75	Flavonol O-glycosides	8	21	Flavonol O-glycosides
1	75	Flavonol O-glycosides	8	25	Flavonol O-glycosides
1	75	Flavonol O-glycosides	9	31	Flavonol O-glycosides
1	75	Flavonol O-glycosides	9	33	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	21	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	23	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	25	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	27	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	29	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	31	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	33	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	35	Flavonol O-glycosides
1	75	Flavonol O-glycosides	10	37	Flavonol O-glycosides
1	75	Flavonol O-glycosides	11	27	Flavonol O-glycosides
1	75	Flavonol O-glycosides	12	13	Flavonol O-glycosides
1	77	Flavonol O-glycosides	1	75	Flavonol O-glycosides
1	77	Flavonol O-glycosides	2	5	Flavonol O-glycosides
1	77	Flavonol O-glycosides	2	7	Flavonol O-glycosides
1	77	Flavonol O-glycosides	2	9	Flavonol O-glycosides
1	77	Flavonol O-glycosides	2	11	Flavonol O-glycosides
1	77	Flavonol O-glycosides	2	13	Flavonol O-glycosides
1	77	Flavonol O-glycosides	3	33	Flavonol O-glycosides
1	77	Flavonol O-glycosides	3	35	Flavonol O-glycosides
1	77	Flavonol O-glycosides	4	45	Flavonol O-glycosides
1	77	Flavonol O-glycosides	5	9	Flavonol O-glycosides
1	77	Flavonol O-glycosides	5	11	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	29	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	31	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	33	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	35	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	37	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	39	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	41	Flavonol O-glycosides
1	77	Flavonol O-glycosides	7	43	Flavonol O-glycosides
1	77	Flavonol O-glycosides	8	19	Flavonol O-glycosides
1	77	Flavonol O-glycosides	8	21	Flavonol O-glycosides
1	77	Flavonol O-glycosides	8	25	Flavonol O-glycosides
1	77	Flavonol O-glycosides	9	31	Flavonol O-glycosides
1	77	Flavonol O-glycosides	9	33	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	21	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	23	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	25	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	27	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	29	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	31	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	33	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	35	Flavonol O-glycosides
1	77	Flavonol O-glycosides	10	37	Flavonol O-glycosides
1	77	Flavonol O-glycosides	11	27	Flavonol O-glycosides
1	77	Flavonol O-glycosides	12	13	Flavonol O-glycosides
