seg1	pos1	name1	seg2	pos2	name2
1	33	33	1	35	35
1	33	33	1	37	37
1	33	33	1	39	39
1	33	33	1	41	41
1	33	33	1	43	43
1	33	33	1	45	45
1	33	33	1	47	47
1	33	33	1	49	49
1	33	33	1	51	51
1	33	33	1	81	81
1	33	33	2	35	35
1	33	33	9	37	37
1	35	35	1	37	37
1	35	35	1	39	39
1	35	35	1	41	41
1	35	35	1	43	43
1	35	35	1	45	45
1	35	35	1	47	47
1	35	35	1	49	49
1	35	35	1	51	51
1	35	35	1	81	81
1	35	35	2	35	35
1	35	35	9	37	37
1	37	37	1	39	39
1	37	37	1	41	41
1	37	37	1	43	43
1	37	37	1	45	45
1	37	37	1	47	47
1	37	37	1	49	49
1	37	37	1	51	51
1	37	37	1	81	81
1	37	37	2	35	35
1	37	37	9	37	37
1	39	39	1	41	41
1	39	39	1	43	43
1	39	39	1	45	45
1	39	39	1	47	47
1	39	39	1	49	49
1	39	39	1	51	51
1	39	39	1	81	81
1	39	39	2	35	35
1	39	39	9	37	37
1	41	41	1	43	43
1	41	41	1	45	45
1	41	41	1	47	47
1	41	41	1	49	49
1	41	41	1	51	51
1	41	41	1	81	81
1	41	41	2	35	35
1	41	41	9	37	37
1	43	43	1	45	45
1	43	43	1	47	47
1	43	43	1	49	49
1	43	43	1	51	51
1	43	43	1	81	81
1	43	43	2	35	35
1	43	43	9	37	37
1	45	45	1	47	47
1	45	45	1	49	49
1	45	45	1	51	51
1	45	45	1	81	81
1	45	45	2	35	35
1	45	45	9	37	37
1	47	47	1	49	49
1	47	47	1	51	51
1	47	47	1	81	81
1	47	47	2	35	35
1	47	47	9	37	37
1	49	49	1	51	51
1	49	49	1	81	81
1	49	49	2	35	35
1	49	49	9	37	37
1	51	51	1	81	81
1	51	51	2	35	35
1	51	51	9	37	37
1	81	81	2	35	35
1	81	81	9	37	37
2	35	35	9	37	37
