seg1	pos1	name1	seg2	pos2	name2
1	93	Isoflavone O-glycosides	1	95	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	1	97	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	1	107	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	8	31	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	8	33	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	8	37	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	8	39	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	8	41	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	8	43	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	9	39	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	9	41	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	9	43	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	10	39	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	10	41	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	10	43	Isoflavone O-glycosides
1	93	Isoflavone O-glycosides	10	45	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	1	93	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	1	97	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	1	107	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	8	31	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	8	33	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	8	37	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	8	39	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	8	41	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	8	43	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	9	39	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	9	41	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	9	43	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	10	39	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	10	41	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	10	43	Isoflavone O-glycosides
1	95	Isoflavone O-glycosides	10	45	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	1	93	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	1	95	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	1	107	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	8	31	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	8	33	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	8	37	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	8	39	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	8	41	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	8	43	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	9	39	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	9	41	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	9	43	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	10	39	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	10	41	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	10	43	Isoflavone O-glycosides
1	97	Isoflavone O-glycosides	10	45	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	1	93	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	1	95	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	1	97	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	8	31	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	8	33	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	8	37	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	8	39	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	8	41	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	8	43	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	9	39	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	9	41	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	9	43	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	10	39	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	10	41	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	10	43	Isoflavone O-glycosides
1	107	Isoflavone O-glycosides	10	45	Isoflavone O-glycosides
