seg1	pos1	name1	seg2	pos2	name2
1	119	Lipids	1	121	Lipids
1	119	Lipids	2	39	Lipids
1	119	Lipids	4	47	Lipids
1	119	Lipids	4	49	Lipids
1	119	Lipids	4	51	Lipids
1	119	Lipids	5	13	Lipids
1	119	Lipids	9	45	Lipids
1	119	Lipids	9	47	Lipids
1	119	Lipids	11	31	Lipids
1	119	Lipids	11	33	Lipids
1	119	Lipids	11	35	Lipids
1	119	Lipids	11	37	Lipids
1	119	Lipids	11	39	Lipids
1	119	Lipids	11	41	Lipids
1	119	Lipids	12	15	Lipids
1	119	Lipids	12	17	Lipids
1	121	Lipids	1	119	Lipids
1	121	Lipids	2	39	Lipids
1	121	Lipids	4	47	Lipids
1	121	Lipids	4	49	Lipids
1	121	Lipids	4	51	Lipids
1	121	Lipids	5	13	Lipids
1	121	Lipids	9	45	Lipids
1	121	Lipids	9	47	Lipids
1	121	Lipids	11	31	Lipids
1	121	Lipids	11	33	Lipids
1	121	Lipids	11	35	Lipids
1	121	Lipids	11	37	Lipids
1	121	Lipids	11	39	Lipids
1	121	Lipids	11	41	Lipids
1	121	Lipids	12	15	Lipids
1	121	Lipids	12	17	Lipids
