seg	po	class	log intensity
1	1	Amino acids	4.396112131
1	3	Amino acids	4.827944074
1	5	Amino acids	4.613630435
1	7	Amino acids	3.769672664
1	9	Amino acids	4.581596985
1	11	Anthraquinones	4.91738471
1	13	Anthraquinones	4.915848146
1	15	Anthraquinones	4.730402708
1	17	Anthraquinones	4.593164182
1	19	Anthraquinones	4.584568664
1	21	Anthraquinones	4.264676182
1	23	Anthraquinones	4.239149265
1	25	Anthraquinones	4.145755624
1	27	Anthraquinones	4.128625405
1	29	Caffeic acid and derivatives	3.833147112
1	31	Caffeic acid and derivatives	3.187520721
1	33	Carbolines	5.130745349
1	35	Carbolines	4.96226513
1	37	Carbolines	4.937086392
1	39	Carbolines	4.891715822
1	41	Carbolines	4.511722976
1	43	Carbolines	4.500016801
1	45	Carbolines	4.361878869
1	47	Carbolines	4.309140245
1	49	Carbolines	4.28302971
1	51	Carbolines	4.075510465
1	53	Carbolines	3.684665864
1	55	Carbolines	3.15136985
1	57	Carbolines	3.117602692
1	59	Cinnamic acid and derivatives	3.610447221
1	61	Coumarin and derivatives	3.222196046
1	63	Fatty acids	3.853454841
1	65	Ferulic acid and derivatives	4.641474111
1	67	Ferulic acid and derivatives	4.023499382
1	69	Flavone C-glycosides	3.630224411
1	71	Flavone O-glycosides	4.631281386
1	73	Flavone O-glycosides	4.686931061
1	75	Flavonol O-glycosides	4.168939214
1	77	Flavonol O-glycosides	4.128625405
1	79	Flavonol O-glycosides	3.718003168
1	81	Indole and derivatives	4.431588896
1	83	Iridoid glycosides	4.702327121
1	85	Iridoid glycosides	4.196314385
1	87	Iridoid glycosides	4.102262149
1	89	Iridoid glycosides	3.812311609
1	91	Iridoid glycosides	3.270911639
1	93	Isoflavone O-glycosides	4.746634199
1	95	Isoflavone O-glycosides	4.679836559
1	97	Isoflavone O-glycosides	4.267054336
1	99	Isoflavone O-glycosides	3.922777342
1	101	Isoflavone O-glycosides	3.760271661
1	103	Isoflavone O-glycosides	3.75868485
1	105	Isoflavone O-glycosides	3.387567779
1	107	Isoflavone O-glycosides	4.135418905
1	109	Isoflavone O-glycosides	3.022840611
