seg	po	OP	AT	OS	ZM	AC	NT	MT	GM	GG	GU	LE	ST
1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	3	-0.98793097	-1	0.181797895	-0.362703165	-0.322832596	-0.074868896	0.316788783	0.126696917	-0.345334176	0.009279577	0.188195038	1
1	5	-0.793880776	-0.907926051	-1	-1	-1	-1	1	-0.036536375	-0.594577614	-0.618567104	-1	-0.176932011
1	7	0.105507818	-1	-1	-1	-1	-1	-1	-0.690660656	1	-1	-1	0.944780955
1	9	-1	-0.993915372	0.036014997	1	-0.728634172	-0.911001607	0.712351366	-0.649105517	-0.955093733	-0.873893948	-0.246791644	0.946309588
1	11	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	13	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	15	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	17	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	19	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	21	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	23	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	25	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	27	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	29	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-0.209985316	-1
1	31	-0.21038961	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.655844156	1
1	33	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	35	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	37	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	39	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	41	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	43	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	45	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	47	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	49	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	51	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	53	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	55	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	57	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	59	0.285434036	1	-1	-1	-0.557135851	-1	-1	-1	-1	-1	-1	-1
1	61	0.09234073	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-0.598425197
1	63	-0.667600897	-1	-0.85117713	-1	-0.619674888	-0.607903587	-0.254204036	-1	-1	-0.426849776	-0.901065022	1
1	65	-0.981126988	-1	-0.933360295	0.403433091	-0.915385998	-1	-1	-1	-1	-1	-1	1
1	67	-0.931047164	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1
1	69	-0.824742268	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	71	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	73	-0.978605935	-1	-1	-1	-1	-1	-0.801828847	1	0.012111801	-0.973360939	-1	-1
1	75	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	77	1	-0.680077341	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	79	-0.860260337	-1	-1	-1	-1	-1	0.484303216	-0.656584992	0.239663093	1	-1	-1
1	81	-0.472730589	-1	-1	-0.701404511	-1	-1	-1	-1	-1	-1	1	-1
1	83	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	85	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	87	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	89	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	91	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	93	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	95	1	-1	-1	-1	-1	-1	-1	-1	-1	-0.978848365	-1	-1
1	97	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	99	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	101	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	103	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	105	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	107	-0.729675207	-1	-1	-1	-1	-1	-0.938134624	1	-1	-1	-1	-1
1	109	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	111	-0.466227348	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1
1	113	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	115	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	117	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	119	1	-1	-1	-0.944604092	-1	-1	-1	-1	-1	-1	-1	-1
1	121	-0.970510155	-0.942043819	-0.824276347	0.089972813	-0.508332001	-1	-0.842827443	-0.852678714	0.332672317	-0.108779786	0.311114665	1
1	123	-1	-0.864081868	-0.603776304	-0.639233208	1	-0.671951571	-0.234938022	-0.096641683	-0.385701931	-0.437950418	-0.237748631	-0.460507351
1	125	0.508307419	-1	-1	-1	-1	-1	0.304753443	0.250733008	-1	-1	-1	1
