seg1	pos1	name1	seg2	pos2	name2
1	157	Quinic acid and derivatives	1	159	Quinic acid and derivatives
1	157	Quinic acid and derivatives	1	161	Quinic acid and derivatives
1	157	Quinic acid and derivatives	1	163	Quinic acid and derivatives
1	157	Quinic acid and derivatives	1	167	Quinic acid and derivatives
1	157	Quinic acid and derivatives	4	57	Quinic acid and derivatives
1	157	Quinic acid and derivatives	12	19	Quinic acid and derivatives
1	159	Quinic acid and derivatives	1	157	Quinic acid and derivatives
1	159	Quinic acid and derivatives	1	161	Quinic acid and derivatives
1	159	Quinic acid and derivatives	1	163	Quinic acid and derivatives
1	159	Quinic acid and derivatives	1	167	Quinic acid and derivatives
1	159	Quinic acid and derivatives	4	57	Quinic acid and derivatives
1	159	Quinic acid and derivatives	12	19	Quinic acid and derivatives
1	161	Quinic acid and derivatives	1	157	Quinic acid and derivatives
1	161	Quinic acid and derivatives	1	159	Quinic acid and derivatives
1	161	Quinic acid and derivatives	1	163	Quinic acid and derivatives
1	161	Quinic acid and derivatives	1	167	Quinic acid and derivatives
1	161	Quinic acid and derivatives	4	57	Quinic acid and derivatives
1	161	Quinic acid and derivatives	12	19	Quinic acid and derivatives
1	163	Quinic acid and derivatives	1	157	Quinic acid and derivatives
1	163	Quinic acid and derivatives	1	159	Quinic acid and derivatives
1	163	Quinic acid and derivatives	1	161	Quinic acid and derivatives
1	163	Quinic acid and derivatives	1	167	Quinic acid and derivatives
1	163	Quinic acid and derivatives	4	57	Quinic acid and derivatives
1	163	Quinic acid and derivatives	12	19	Quinic acid and derivatives
1	167	Quinic acid and derivatives	1	157	Quinic acid and derivatives
1	167	Quinic acid and derivatives	1	159	Quinic acid and derivatives
1	167	Quinic acid and derivatives	1	161	Quinic acid and derivatives
1	167	Quinic acid and derivatives	1	163	Quinic acid and derivatives
1	167	Quinic acid and derivatives	4	57	Quinic acid and derivatives
1	167	Quinic acid and derivatives	12	19	Quinic acid and derivatives
