Segment	Start	End	Name	Class
1	0	2	a1	b1
1	2	4	a726	b726
1	4	6	a347	b347
1	6	8	a725	b725
1	8	10	a727	b727
1	10	12	a9	b9
1	12	14	a3	b3
1	14	16	a6	b6
1	16	18	a5	b5
1	18	20	a7	b7
1	20	22	a10	b10
1	22	24	a8	b8
1	24	26	a2	b2
1	26	28	a4	b4
1	28	30	a11	b11
1	30	32	a735	b735
1	32	34	a18	b18
1	34	36	a13	b13
1	36	38	a21	b21
1	38	40	a17	b17
1	40	42	a22	b22
1	42	44	a19	b19
1	44	46	a23	b23
1	46	48	a24	b24
1	48	50	a14	b14
1	50	52	a16	b16
1	52	54	a20	b20
1	54	56	a12	b12
1	56	58	a15	b15
1	58	60	a58	b58
1	60	62	a668	b668
1	62	64	a740	b740
1	64	66	a741	b741
1	66	68	a366	b366
1	68	70	a133	b133
1	70	72	a25	b25
1	72	74	a457	b457
1	74	76	a26	b26
1	76	78	a27	b27
1	78	80	a623	b623
1	80	82	a686	b686
1	82	84	a28	b28
1	84	86	a30	b30
1	86	88	a29	b29
1	88	90	a32	b32
1	90	92	a31	b31
1	92	94	a37	b37
1	94	96	a38	b38
1	96	98	a33	b33
1	98	100	a34	b34
1	100	102	a40	b40
1	102	104	a35	b35
1	104	106	a39	b39
1	106	108	a473	b473
1	108	110	a36	b36
1	110	112	a481	b481
1	112	114	a42	b42
1	114	116	a41	b41
1	116	118	a43	b43
1	118	120	a44	b44
1	120	122	a750	b750
1	122	124	a252	b252
1	124	126	a46	b46
1	126	128	a45	b45
1	128	130	a485	b485
1	130	132	a254	b254
1	132	134	a394	b394
1	134	136	a699	b699
1	136	138	a486	b486
1	138	140	a325	b325
1	140	142	a161	b161
1	142	144	a320	b320
1	144	146	a165	b165
1	146	148	a760	b760
1	148	150	a639	b639
1	150	152	a407	b407
1	152	154	a409	b409
1	154	156	a558	b558
1	156	158	a761	b761
1	158	160	a50	b50
1	160	162	a48	b48
1	162	164	a763	b763
1	164	166	a336	b336
1	166	168	a220	b220
1	168	170	a49	b49
1	170	172	a51	b51
1	172	174	a222	b222
1	174	176	a52	b52
1	176	178	a54	b54
1	178	180	a722	b722
1	180	182	a53	b53
2	0	2	a59	b59
2	2	4	a61	b61
2	4	6	a65	b65
2	6	8	a66	b66
2	8	10	a67	b67
2	10	12	a70	b70
2	12	14	a71	b71
2	14	16	a72	b72
2	16	18	a73	b73
2	18	20	a79	b79
2	20	22	a81	b81
2	22	24	a86	b86
2	24	26	a87	b87
2	26	28	a88	b88
2	28	30	a89	b89
2	30	32	a90	b90
2	32	34	a94	b94
2	34	36	a95	b95
2	36	38	a98	b98
2	38	40	a100	b100
2	40	42	a99	b99
2	42	44	a107	b107
2	44	46	a111	b111
2	46	48	a112	b112
2	48	50	a113	b113
3	0	2	a117	b117
3	2	4	a118	b118
3	4	6	a119	b119
3	6	8	a123	b123
3	8	10	a127	b127
3	10	12	a129	b129
3	12	14	a130	b130
3	14	16	a131	b131
3	16	18	a132	b132
3	18	20	a134	b134
3	20	22	a135	b135
3	22	24	a136	b136
3	24	26	a138	b138
3	26	28	a143	b143
3	28	30	a144	b144
3	30	32	a149	b149
3	32	34	a150	b150
3	34	36	a151	b151
3	36	38	a158	b158
3	38	40	a159	b159
3	40	42	a160	b160
3	42	44	a162	b162
3	44	46	a163	b163
3	46	48	a167	b167
3	48	50	a169	b169
4	0	2	a171	b171
4	2	4	a172	b172
4	4	6	a173	b173
4	6	8	a179	b179
4	8	10	a180	b180
4	10	12	a181	b181
4	12	14	a182	b182
4	14	16	a184	b184
4	16	18	a187	b187
4	18	20	a189	b189
4	20	22	a190	b190
4	22	24	a191	b191
4	24	26	a192	b192
4	26	28	a194	b194
4	28	30	a195	b195
4	30	32	a196	b196
4	32	34	a197	b197
4	34	36	a198	b198
4	36	38	a201	b201
